,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BMI1,3.7643552,-0.021888103,-0.034849368,2.4287503,6.4553976,-0.049666796,8.031127,-0.00196314,1.8180128,-0.042704076,5.3854322,5.2239814,-0.070002146,1.0915546,-0.064131685,-0.0719704
ARNT2,3.4792798,-0.017003011,-0.028678034,3.6256983,4.934679,-0.02497108,5.1092863,-0.0012820128,2.1363544,-0.030947456,5.4876213,3.8433514,-0.052826494,1.1913637,-0.05715672,-0.04838635
BTG2,4.8205857,-0.016960995,-0.036043108,3.2102668,6.3742313,-0.04578512,8.045201,-0.0040029287,2.5120416,-0.044683456,5.7641563,4.923286,-0.07598132,2.1022809,-0.07418849,-0.082180135
MED4,4.8161025,-0.016952498,-0.03599206,3.2068155,6.365286,-0.045743827,8.038362,-0.0039754077,2.509797,-0.044620614,5.751009,4.913197,-0.075902365,2.1004155,-0.07408183,-0.082179315
SOAT1,4.881147,-0.017516134,-0.03696492,3.2531376,6.4603357,-0.046239395,8.115407,-0.0041485885,2.5436022,-0.044979267,5.780443,4.92586,-0.07629644,2.114166,-0.075188786,-0.08295968
TLE1,4.855715,-0.017167997,-0.03660223,3.221011,6.415593,-0.046045832,8.109213,-0.003953775,2.5187564,-0.044897497,5.8195677,4.9618263,-0.07643443,2.11944,-0.07493501,-0.082520045
NFATC2IP,4.8185263,-0.016914187,-0.035967376,3.2088618,6.371155,-0.0457849,8.041418,-0.004001782,2.5116313,-0.044675708,5.7539177,4.9155636,-0.07597277,2.102369,-0.074086465,-0.0822329
GM13597,1.339465,0.42906377,0.3194578,0.69941473,2.0875475,-0.017372038,1.8133347,-0.0071996963,0.31653187,-0.015553163,2.0737786,2.1392152,-0.01908521,0.46977228,-0.015886307,-0.018860973
SOX4,4.8415585,-0.017150253,-0.03633366,3.2209315,6.4035482,-0.04592089,8.092235,-0.0039265263,2.5240254,-0.04474832,5.7862997,4.93767,-0.07624207,2.1117437,-0.07456905,-0.08248389
YEATS2,4.8366456,-0.017066762,-0.036285285,3.2178564,6.3918924,-0.045918193,8.079978,-0.003960123,2.5169873,-0.04481839,5.786956,4.9404726,-0.07625312,2.1125615,-0.0744904,-0.082412355
TXNDC12,4.786596,-0.016789652,-0.035657827,3.195618,6.3354797,-0.045564532,7.9929934,-0.0039970824,2.4946835,-0.04450806,5.715661,4.888005,-0.07556656,2.0891395,-0.07356816,-0.0818656
ODC1,4.7722054,-0.016669314,-0.035356436,3.1821625,6.3335695,-0.045491084,7.9766545,-0.0040398357,2.4883738,-0.044326883,5.698638,4.8777714,-0.07527604,2.076793,-0.073252894,-0.08160656
GM24044,1.2750942,0.50784075,0.40021995,0.84832203,2.1817462,-0.015784109,2.1462147,-0.005549229,0.17540494,-0.015097676,2.2852573,2.4102368,-0.019400489,0.51212114,-0.016297778,-0.017579608
CRAMP1L,4.85239,-0.017279621,-0.03666543,3.2264242,6.411746,-0.04599696,8.107425,-0.0038949964,2.52078,-0.044887017,5.814658,4.957011,-0.076429516,2.1174126,-0.07493721,-0.08257673
YAF2,4.518617,-0.015747951,-0.03713655,2.520064,5.820694,-0.043239135,7.853177,0.04254414,2.3713577,-0.036204595,5.9349546,4.422267,-0.07895424,2.4489493,-0.06948081,-0.076073624
SLC25A4,4.8344774,-0.017099556,-0.036264677,3.21952,6.389183,-0.04590463,8.071374,-0.003956059,2.5168762,-0.044820957,5.7770786,4.9324074,-0.07619839,2.1070964,-0.07442651,-0.08246924
GM14303,1.2750942,0.50784075,0.40021995,0.84832203,2.1817462,-0.015784109,2.1462147,-0.005549229,0.17540494,-0.015097676,2.2852573,2.4102368,-0.019400489,0.51212114,-0.016297778,-0.017579608
KRBA1,4.8461695,-0.017206306,-0.03654732,3.226548,6.3977203,-0.04597065,8.094459,-0.0038946592,2.519938,-0.044925723,5.8014708,4.9485683,-0.07643636,2.1180875,-0.074759535,-0.08259422
MAGED1,4.5833545,-0.01923541,-0.0349982,3.0609298,6.5259314,-0.048000615,8.309808,-0.0050746477,2.8093903,-0.04177267,5.6150894,4.787104,-0.07508077,2.0715542,-0.071539655,-0.079519086
PDIA6,4.8450994,-0.017104585,-0.036356986,3.220388,6.4019613,-0.04595548,8.090158,-0.003956977,2.5217924,-0.044817436,5.7916718,4.9403424,-0.076303676,2.116074,-0.07460426,-0.08251051
PHLDA3,4.8280387,-0.016992299,-0.03607213,3.213104,6.3828373,-0.045832504,8.060035,-0.0039661294,2.5151083,-0.044691198,5.7636023,4.921791,-0.07603626,2.1032126,-0.074228585,-0.08232742
DCXR,4.840171,-0.017177194,-0.036456786,3.2245052,6.387841,-0.045896426,8.0816145,-0.003865805,2.518603,-0.04483657,5.786274,4.933927,-0.076336235,2.1150506,-0.07460122,-0.082559876
COL27A1,4.8086457,-0.016858162,-0.03581642,3.2040854,6.357668,-0.04568126,8.02401,-0.004017974,2.509269,-0.044583343,5.739483,4.9062576,-0.075800166,2.096343,-0.07389854,-0.082086705
POLR2K,4.8278165,-0.017120583,-0.03641038,3.2188046,6.371952,-0.045839157,8.067283,-0.003871932,2.5107083,-0.04483407,5.78568,4.9383698,-0.076281846,2.115546,-0.07451944,-0.082357995
FOXP1,4.84368,-0.017124634,-0.036304105,3.2197561,6.4014387,-0.045946278,8.08611,-0.0039468477,2.519132,-0.04478353,5.7790194,4.9339695,-0.07618754,2.10591,-0.074506864,-0.082530595
NOTCH1,4.778872,-0.01672875,-0.035518296,3.1899257,6.3226366,-0.04550147,7.975405,-0.0040147165,2.4901433,-0.044448752,5.7003126,4.8793664,-0.0754113,2.081161,-0.07336848,-0.081745364
PHF14,4.840575,-0.01709191,-0.036291637,3.2201693,6.390332,-0.045909207,8.079115,-0.0039509963,2.5223136,-0.044804174,5.783367,4.9360986,-0.07627368,2.113414,-0.074501224,-0.082490794
SOX15,4.8259754,-0.017099002,-0.0362547,3.2188792,6.386119,-0.045885585,8.061535,-0.003976856,2.5132053,-0.044851203,5.7796764,4.93237,-0.076168984,2.1070354,-0.07438748,-0.08236573
PARVB,4.829788,-0.016978629,-0.036055487,3.208397,6.383259,-0.045865204,8.061475,-0.0039588497,2.508577,-0.04468563,5.757103,4.9196005,-0.0759633,2.0977886,-0.07417851,-0.082345665
FOSL2,4.8189955,-0.016984744,-0.03601315,3.2103996,6.374652,-0.04577986,8.048397,-0.0040018405,2.5154915,-0.04465443,5.758032,4.9194384,-0.07595599,2.1020145,-0.07414734,-0.08219831
TAF6,4.805257,-0.016934095,-0.035953045,3.2060537,6.362381,-0.045740783,8.030451,-0.0039939294,2.5030134,-0.044683617,5.7506943,4.915276,-0.075880215,2.099116,-0.07399439,-0.08208823
